# E (eV)   ldos(E)   pdos(E)   
 -23.730  0.000E+00  0.000E+00
 -23.720  0.000E+00  0.000E+00
 -23.710  0.000E+00  0.000E+00
 -23.700  0.000E+00  0.000E+00
 -23.690  0.000E+00  0.000E+00
 -23.680  0.000E+00  0.000E+00
 -23.670  0.000E+00  0.000E+00
 -23.660  0.000E+00  0.000E+00
 -23.650  0.000E+00  0.000E+00
 -23.640  0.000E+00  0.000E+00
 -23.630  0.000E+00  0.000E+00
 -23.620  0.000E+00  0.000E+00
 -23.610  0.000E+00  0.000E+00
 -23.600  0.000E+00  0.000E+00
 -23.590  0.000E+00  0.000E+00
 -23.580  0.000E+00  0.000E+00
 -23.570  0.000E+00  0.000E+00
 -23.560  0.000E+00  0.000E+00
 -23.550  0.000E+00  0.000E+00
 -23.540  0.000E+00  0.000E+00
 -23.530  0.000E+00  0.000E+00
 -23.520  0.000E+00  0.000E+00
 -23.510  0.000E+00  0.000E+00
 -23.500  0.000E+00  0.000E+00
 -23.490  0.000E+00  0.000E+00
 -23.480  0.000E+00  0.000E+00
 -23.470  0.000E+00  0.000E+00
 -23.460  0.000E+00  0.000E+00
 -23.450  0.000E+00  0.000E+00
 -23.440  0.000E+00  0.000E+00
 -23.430  0.000E+00  0.000E+00
 -23.420  0.000E+00  0.000E+00
 -23.410  0.000E+00  0.000E+00
 -23.400  0.000E+00  0.000E+00
 -23.390  0.000E+00  0.000E+00
 -23.380  0.000E+00  0.000E+00
 -23.370  0.000E+00  0.000E+00
 -23.360  0.000E+00  0.000E+00
 -23.350  0.000E+00  0.000E+00
 -23.340  0.000E+00  0.000E+00
 -23.330  0.000E+00  0.000E+00
 -23.320  0.000E+00  0.000E+00
 -23.310  0.000E+00  0.000E+00
 -23.300  0.000E+00  0.000E+00
 -23.290  0.000E+00  0.000E+00
 -23.280  0.000E+00  0.000E+00
 -23.270  0.000E+00  0.000E+00
 -23.260  0.000E+00  0.000E+00
 -23.250  0.000E+00  0.000E+00
 -23.240  0.000E+00  0.000E+00
 -23.230  0.000E+00  0.000E+00
 -23.220  0.000E+00  0.000E+00
 -23.210  0.000E+00  0.000E+00
 -23.200  0.000E+00  0.000E+00
 -23.190  0.000E+00  0.000E+00
 -23.180  0.000E+00  0.000E+00
 -23.170  0.000E+00  0.000E+00
 -23.160  0.000E+00  0.000E+00
 -23.150  0.000E+00  0.000E+00
 -23.140  0.000E+00  0.000E+00
 -23.130  0.000E+00  0.000E+00
 -23.120  0.000E+00  0.000E+00
 -23.110  0.000E+00  0.000E+00
 -23.100  0.000E+00  0.000E+00
 -23.090  0.000E+00  0.000E+00
 -23.080  0.000E+00  0.000E+00
 -23.070  0.000E+00  0.000E+00
 -23.060  0.000E+00  0.000E+00
 -23.050  0.000E+00  0.000E+00
 -23.040  0.000E+00  0.000E+00
 -23.030  0.000E+00  0.000E+00
 -23.020  0.000E+00  0.000E+00
 -23.010  0.000E+00  0.000E+00
 -23.000  0.000E+00  0.000E+00
 -22.990  0.000E+00  0.000E+00
 -22.980  0.000E+00  0.000E+00
 -22.970  0.000E+00  0.000E+00
 -22.960  0.000E+00  0.000E+00
 -22.950  0.000E+00  0.000E+00
 -22.940  0.000E+00  0.000E+00
 -22.930  0.000E+00  0.000E+00
 -22.920  0.000E+00  0.000E+00
 -22.910  0.000E+00  0.000E+00
 -22.900  0.000E+00  0.000E+00
 -22.890  0.000E+00  0.000E+00
 -22.880  0.000E+00  0.000E+00
